E(keV)	Px(MeV/c)	Py(MeV/c)	Pz(MeV/c)	X(mm)	Y(mm)	Z(mm)	T(ns)
0.00562541	0.0239023	-0.00421213	1.09004	1.16644	-0.529541	-1.49009e-09	474.333	
0.00562939	0.00282133	-0.00418817	1.09068	1.43218	0.197614	-1.49009e-09	474.579	
0.00564869	-0.0407681	-0.00386103	1.0918	0.0352563	-0.826061	-1.49009e-09	479.259	
0.00564132	-0.0148913	0.0251652	1.09146	0.56813	-0.465791	-1.49009e-09	476.924	
0.00565122	0.00682944	-0.00434476	1.09278	0.0357836	0.0419493	-1.49009e-09	477.577	
0.00565646	-0.0386273	0.0169803	1.0925	0.140465	-0.154169	-1.49009e-09	480.7	
0.00565529	0.0167708	0.00541936	1.09306	-0.538407	0.369878	-1.49009e-09	479.324	
0.00562467	0.0482978	0.000780425	1.08917	-1.65261	0.205793	-1.49009e-09	475.301	
0.00565368	0.00817258	0.0023298	1.09301	1.00745	0.736037	-1.49009e-09	478.192	
0.00564837	-0.0429529	0.00420046	1.09168	0.0953466	-0.404813	-1.49009e-09	478.785	
0.00564754	-0.0164254	0.00271123	1.09233	-0.708919	-1.44375	-1.49009e-09	477.863	
0.00562437	-0.024657	0.00692421	1.08991	-0.362026	0.104879	-1.49009e-09	474.065	
0.00563598	0.0231167	0.00393586	1.09108	0.246143	-1.72954	-1.49009e-09	475.907	
0.00565233	-0.0292555	0.00584602	1.09251	0.0288508	-0.0758593	-1.49009e-09	478.453	
0.00564751	0.0302703	-0.0055185	1.09202	0.0101364	0.00554356	-1.49009e-09	477.925	
0.00564171	0.054284	0.0251246	1.09025	-0.122826	-2.09102	-1.49009e-09	477.01	
0.00563699	-0.0254255	0.000916619	1.09113	-0.109666	0.00275222	-1.49009e-09	475.516	
0.00565124	0.0171807	0.0135081	1.09259	-0.658968	-0.354095	-1.49009e-09	477.276	
0.00563894	0.0360134	-0.014071	1.09093	0.353227	-0.662882	-1.49009e-09	475.99	
0.00562904	0.00461208	0.0283483	1.09028	-0.29558	0.0298904	-1.49009e-09	474.618	
0.00565025	0.024487	-0.00103361	1.09244	0.874806	-0.816505	-1.49009e-09	478.468	
0.00563555	-0.00703267	-0.000268385	1.09127	0.565571	-1.04728	-1.49009e-09	475.472	
0.00564505	0.03717	0.00853969	1.09155	0.0281215	1.14926	-1.49009e-09	477.272	
0.00563112	0.0247386	-0.000309908	1.09058	-0.437458	0.301727	-1.49009e-09	474.996	
0.00564807	-0.034723	0.0176487	1.09181	-0.58976	-0.779625	-1.49009e-09	478.298	
0.00564706	0.0528605	0.0168714	1.091	-1.58502	-0.354933	-1.49009e-09	478.022	
0.00563612	-0.00998699	-0.00136761	1.0913	0.0455023	-0.420034	-1.49009e-09	474.629	
0.00564915	0.00725916	0.030899	1.09215	-0.443133	0.356667	-1.49009e-09	478.411	
0.00564693	-0.0171392	0.00778696	1.09223	1.08539	-0.805222	-1.49009e-09	476.926	
0.00564202	0.0599558	-0.00672874	1.09025	-2.65449	0.717675	-1.49009e-09	476.612	
0.00563135	0.0161906	0.015561	1.09065	0.998608	-0.0385267	-1.49009e-09	475.306	
0.00565229	0.00149197	0.00320388	1.09291	-0.150842	-3.24879	-1.49009e-09	477.886	
0.00563453	0.0325234	0.00976278	1.09066	0.249314	0.674679	-1.49009e-09	476.399	
0.00565079	0.00245646	0.015112	1.09266	0.44298	-0.67723	-1.49009e-09	478.525	
0.00565378	-0.021396	0.00117994	1.09285	0.849759	0.42473	-1.49009e-09	479.075	
0.00563395	6.18112e-05	0.00549384	1.09112	0.480814	-0.0884162	-1.49009e-09	474.216	
0.00565434	0.0413319	0.000839094	1.09233	-0.539478	0.592281	-1.49009e-09	480.28	
0.00563867	0.0860109	-0.0162084	1.08808	2.88543	1.21826	-1.49009e-09	479.784	
0.00565978	-0.0590588	0.0229101	1.0918	2.19918	-0.848464	-1.49009e-09	480.925	
0.00564887	0.00278877	0.0198337	1.0924	0.941212	-0.435855	-1.49009e-09	478.296	
0.00564675	-0.00268093	-0.0149188	1.09227	-0.420997	-0.256481	-1.49009e-09	477.663	
0.00563509	-0.00182054	0.0091685	1.09121	-1.8186	0.848218	-1.49009e-09	474.284	
0.0056522	0.0174518	-0.00375428	1.09276	-0.468303	0.385503	-1.49009e-09	479.102	
0.00564117	-0.0843913	0.00403968	1.08856	-1.5944	-0.326955	-1.49009e-09	478.848	
